symbol,name,track,bars,trade_count,win_rate_pct,win_rate_ci95_low,win_rate_ci95_high,profit_factor,expectancy,net_pnl,return_pct,max_drawdown_pct,sharpe,sortino,avg_holding_hours,fees,slippage,cost_to_gross_pct,ledger_reconciled,status,holdout_trades,holdout_net_pnl,parameter_profitable,parameter_total,stress_3x_net_pnl
AU_IDX,沪金,real,8136,36,8.333333333333334,2.87480892712918,21.82701027691885,0.1826478811545927,-1815.0665168650419,-65342.394607141265,-6.534239460714126,7.2355930773791215,-1.6911411312483393,-0.5014142440215412,2.0625,3528.823178571429,1440.0,34.02930273484905,True,REJECTED,,,,,
AU_IDX,沪金,synthetic,480000,1117,6.714413607878245,5.39008539018094,8.335457987224038,0.6154006777193665,-938.4345812124068,-1048231.4272142585,-26.205785680356463,26.44817159750682,-0.6151268693482053,-0.28868048911151334,2.812891674127126,64901.427214285715,44680.0,6.533265698734245,True,REJECTED,573.0,-828376.9542857015,0.0,16.0,-1256147.7167499433
AG_IDX,沪银,real,8136,51,11.764705882352942,5.504998764172768,23.381102297794786,1.3784605784117865,514.1323056722678,26220.747589285835,2.6220747589285835,3.1279910738331225,0.6757744408253986,0.2896156677614374,2.588235294117647,1501.395267857143,1830.0,3.4882483130376167,True,REJECTED,,,,,
AG_IDX,沪银,synthetic,480000,1037,4.532304725168756,3.425303948145849,5.974935242908775,0.35361278312160666,-367.25259603595555,-380840.9420892878,-9.521023552232196,9.685121101951943,-1.1121333100532067,-0.5009530990746605,2.377049180327869,19023.799232142857,54450.0,35.26579422981629,True,REJECTED,525.0,-177661.95559821627,0.0,16.0,-512128.25844642776
RB_IDX,螺纹钢,real,8211,6,0.0,0.0,39.03430336530645,0.0,-2468.393625000006,-14810.361750000156,-1.4810361750000156,1.904839004286076,-1.6983173932029103,-0.2064441545582914,2.2916666666666665,445.36175000000003,2840.0,3.28536175e+17,True,REJECTED,,,,,
RB_IDX,螺纹钢,synthetic,600000,1142,6.042031523642732,4.801961126229541,7.576852838981705,0.4986362899305637,-366.679861740055,-418748.40210713993,-8.374968042142799,8.415250275488736,-0.9912299170708017,-0.505155047275564,2.7399299474605954,22669.83067857143,134640.0,37.772150695515705,True,REJECTED,446.0,-190945.08885714132,0.0,16.0,-666914.2881607136
HC_IDX,热卷,real,8015,11,18.181818181818183,5.136660067100063,47.69861375782448,2.4174492232131737,923.4983863636412,10158.482250000001,1.015848225,1.4451862463894538,0.4823409135131306,0.12713721523028182,7.545454545454546,1043.6606071428573,6400.0,42.9643144703678,True,REJECTED,,,,,
HC_IDX,热卷,synthetic,600000,1134,5.379188712522046,4.210318279831938,6.849358216439599,0.4852928284590244,-349.79452261274906,-396666.9886428572,-7.933339772857143,8.123601235559663,-0.9378818928217103,-0.49410499281911174,2.807980599647266,21981.98864285714,134820.0,41.92584776914765,True,REJECTED,457.0,-156692.74685714126,0.0,16.0,-681033.7055357178
I_IDX,铁矿石,real,8015,11,0.0,2.7755575615628914e-15,25.88400172488141,0.0,-929.7461363636364,-10227.207499999902,-1.0227207499999902,1.3991433798211006,-1.20711447914226,-0.1592655084186528,1.0,577.2075,7400.0,7.9772075e+17,True,REJECTED,,,,,
I_IDX,铁矿石,synthetic,840000,1151,5.212858384013901,4.071158365890577,6.652528761417618,0.5263390110692914,-255.09935071987096,-293619.3526785688,-4.194562181122412,4.214247934910365,-0.8319809588742412,-0.416250274883029,2.667897480451781,15097.924107142857,193700.0,63.994633607379875,True,REJECTED,494.0,-79342.11312499875,0.0,16.0,-722814.90973214
