symbol,regime,trades,win_rate_pct,net_pnl
AU_IDX,BULL_TREND,396,49.24242424242424,-176360.55959998397
AU_IDX,GRINDING_CHOP,329,65.34954407294833,142786.8515428815
AU_IDX,NEW_BULL_WAVE,376,53.191489361702125,-264095.099735701
AU_IDX,PANIC_CRASH,362,48.06629834254144,-285754.3184357035
AU_IDX,WHIPSAW_RANGE,361,59.83379501385041,38560.39010715527
SC_IDX,BULL_TREND,358,47.76536312849162,-543910.3722857139
SC_IDX,GRINDING_CHOP,338,55.62130177514793,-21142.50857142992
SC_IDX,NEW_BULL_WAVE,324,55.55555555555556,57106.19792857596
SC_IDX,PANIC_CRASH,389,49.87146529562982,-602387.3113214353
SC_IDX,WHIPSAW_RANGE,347,56.48414985590778,142791.00589288468
