symbol,regime,trades,win_rate_pct,net_pnl
AG_IDX,BULL_TREND,275,82.9090909090909,61613.39864999989
AG_IDX,GRINDING_CHOP,136,81.61764705882352,38225.26529999974
AG_IDX,PANIC_CRASH,326,83.12883435582822,84541.88411249986
AG_IDX,WHIPSAW_RANGE,284,86.61971830985915,110020.85310000004
AU_IDX,BULL_TREND,310,83.87096774193549,274555.9514000106
AU_IDX,GRINDING_CHOP,179,81.00558659217877,72832.42400000663
AU_IDX,PANIC_CRASH,281,79.7153024911032,354920.13720001036
AU_IDX,WHIPSAW_RANGE,291,85.56701030927834,643288.7768214387
RB_IDX,BULL_TREND,326,77.30061349693251,75448.72837499983
RB_IDX,GRINDING_CHOP,114,64.03508771929825,17126.299100000106
RB_IDX,PANIC_CRASH,388,78.35051546391753,95654.09055000014
RB_IDX,WHIPSAW_RANGE,329,84.49848024316108,116922.36315714274
HC_IDX,BULL_TREND,305,77.70491803278688,71934.33759285734
HC_IDX,GRINDING_CHOP,99,53.535353535353536,-707.3241999996299
HC_IDX,PANIC_CRASH,370,75.67567567567568,87363.10461785705
HC_IDX,WHIPSAW_RANGE,328,81.70731707317073,101474.8066178569
J_IDX,BULL_TREND,300,75.0,62180.52850000014
J_IDX,GRINDING_CHOP,134,63.43283582089553,12497.466964285606
J_IDX,PANIC_CRASH,388,76.80412371134021,140371.54169642864
J_IDX,WHIPSAW_RANGE,351,80.62678062678063,223494.59260714296
CU_IDX,BULL_TREND,289,78.54671280276817,151568.46280357148
CU_IDX,GRINDING_CHOP,143,81.11888111888112,34424.31924999999
CU_IDX,PANIC_CRASH,331,82.77945619335347,314747.562875
CU_IDX,WHIPSAW_RANGE,283,79.50530035335689,338018.016
I_IDX,BULL_TREND,286,64.6853146853147,25276.555249999932
I_IDX,GRINDING_CHOP,28,53.57142857142857,-1534.041499999968
I_IDX,PANIC_CRASH,387,70.02583979328165,58781.229464285614
I_IDX,WHIPSAW_RANGE,351,75.78347578347578,60716.17299999996
JM_IDX,BULL_TREND,290,72.75862068965517,58749.91559999992
JM_IDX,GRINDING_CHOP,129,57.36434108527132,4162.313700000314
JM_IDX,PANIC_CRASH,376,77.3936170212766,72259.74825000008
JM_IDX,WHIPSAW_RANGE,305,76.72131147540983,76634.98076785698
ZN_IDX,BULL_TREND,262,77.09923664122137,41755.36178571428
ZN_IDX,GRINDING_CHOP,127,77.16535433070865,31240.953499999996
ZN_IDX,PANIC_CRASH,329,79.63525835866263,69143.76418750003
ZN_IDX,WHIPSAW_RANGE,284,84.50704225352112,113643.89025
SN_IDX,BULL_TREND,308,81.4935064935065,98216.83502499998
SN_IDX,GRINDING_CHOP,159,85.53459119496856,47926.07859999999
SN_IDX,PANIC_CRASH,337,80.71216617210682,207750.314
SN_IDX,WHIPSAW_RANGE,277,87.36462093862815,269998.7460892857
AL_IDX,BULL_TREND,333,78.37837837837837,79623.7245
AL_IDX,GRINDING_CHOP,117,67.52136752136752,15093.175250000002
AL_IDX,PANIC_CRASH,391,78.26086956521739,98795.1353125
AL_IDX,WHIPSAW_RANGE,311,81.02893890675242,98594.31575000001
SC_IDX,BULL_TREND,356,80.33707865168539,335426.92199998326
SC_IDX,GRINDING_CHOP,150,80.0,38870.902999992526
SC_IDX,PANIC_CRASH,405,80.0,569788.5938214106
SC_IDX,WHIPSAW_RANGE,315,80.63492063492063,624603.0624999858
RU_IDX,BULL_TREND,272,75.36764705882352,40120.765
RU_IDX,GRINDING_CHOP,105,65.71428571428571,13421.970303571403
RU_IDX,PANIC_CRASH,364,76.37362637362637,107113.23637500001
RU_IDX,WHIPSAW_RANGE,323,82.04334365325077,141881.91750000004
TA_IDX,BULL_TREND,289,75.4325259515571,57803.38550000012
