symbol,timeframe,track,entry_time,exit_time,side,lots,entry_price,exit_price,entry_fee,exit_fee,slippage_cost,gross_pnl,net_pnl,exit_reason,holding_bars,regime
SC_IDX,30m,real,2024-11-20 22:30:00,2024-11-20 22:30:00,SHORT,1,532.5,531.2600000000001,26.625,26.563000000000006,200.0,1239.9999999998954,1186.8119999998953,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-11-28 22:00:00,2024-11-28 22:00:00,SHORT,1,529.1,528.2400000000001,26.455000000000002,26.412000000000006,200.0,859.9999999999,807.1329999998999,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-12-02 22:00:00,2024-12-02 22:00:00,SHORT,1,532.9,532.0799999999999,26.645,26.603999999999996,200.0,820.00000000005,766.75100000005,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-12-03 22:00:00,2024-12-03 22:30:00,SHORT,1,535.1999999999999,534.34,26.759999999999994,26.717000000000002,200.0,859.9999999999,806.5229999999,take_profit_sma5,1,REAL_HISTORY
SC_IDX,30m,real,2024-12-05 09:00:00,2024-12-05 09:00:00,LONG,1,534.2,534.54,26.71,26.727,200.0,339.99999999991815,286.5629999999182,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-12-09 22:30:00,2024-12-09 22:30:00,SHORT,1,529.3,528.8000000000001,26.465,26.44000000000001,200.0,499.9999999998863,447.09499999988634,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-12-12 14:30:00,2024-12-12 21:00:00,SHORT,1,543.4,542.88,27.17,27.144000000000002,200.0,519.9999999999818,465.6859999999818,take_profit_sma5,1,REAL_HISTORY
SC_IDX,30m,real,2024-12-17 01:00:00,2024-12-17 01:00:00,LONG,1,544.9,545.8399999999999,27.245,27.291999999999994,200.0,939.9999999999409,885.4629999999408,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-12-18 22:00:00,2024-12-18 22:30:00,SHORT,1,545.1,544.32,27.255000000000003,27.216,200.0,779.9999999999727,725.5289999999727,take_profit_sma5,1,REAL_HISTORY
SC_IDX,30m,real,2024-12-20 01:00:00,2024-12-20 01:00:00,LONG,1,540.0,540.4799999999999,27.0,27.023999999999994,200.0,479.9999999999045,425.9759999999045,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2024-12-20 10:00:00,2024-12-20 14:00:00,LONG,1,538.4,537.4,26.92,26.87,200.0,-1000.0,-1053.79,take_profit_sma5,4,REAL_HISTORY
SC_IDX,30m,real,2025-01-02 10:00:00,2025-01-02 10:00:00,SHORT,1,563.6999999999999,562.5,28.184999999999995,28.125,200.0,1199.9999999999318,1143.6899999999318,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2025-01-09 10:00:00,2025-01-09 10:30:00,LONG,1,577.8000000000001,579.0600000000001,28.890000000000008,28.953000000000007,200.0,1259.999999999991,1202.1569999999908,take_profit_sma5,1,REAL_HISTORY
SC_IDX,30m,real,2025-01-14 10:00:00,2025-01-14 11:00:00,LONG,1,609.8000000000001,608.94,30.490000000000006,30.447000000000003,200.0,-860.0000000000136,-920.9370000000137,take_profit_sma5,2,REAL_HISTORY
SC_IDX,30m,real,2025-01-16 01:00:00,2025-01-16 01:00:00,SHORT,1,635.0,633.7800000000001,31.75,31.689000000000007,200.0,1219.9999999999136,1156.5609999999135,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2025-01-16 23:00:00,2025-01-17 00:00:00,LONG,1,628.6,627.1,31.430000000000003,31.355,200.0,-1500.0,-1562.785,take_profit_sma5,2,REAL_HISTORY
SC_IDX,30m,real,2025-01-17 22:00:00,2025-01-17 22:30:00,LONG,1,626.0,626.82,31.3,31.341,200.0,820.00000000005,757.3590000000501,take_profit_sma5,1,REAL_HISTORY
SC_IDX,30m,real,2025-02-10 09:00:00,2025-02-10 11:00:00,SHORT,1,609.1999999999999,612.34,30.459999999999997,30.617,200.0,-3140.0000000001,-3201.0770000001003,take_profit_sma5,4,REAL_HISTORY
SC_IDX,30m,real,2025-02-13 00:30:00,2025-02-13 00:30:00,LONG,1,611.8000000000001,611.96,30.590000000000007,30.598000000000003,200.0,159.99999999996817,98.81199999996817,take_profit_sma5,0,REAL_HISTORY
SC_IDX,30m,real,2025-02-13 10:00:00,2025-02-13 11:00:00,LONG,1,597.5,595.7799999999999,29.875,29.788999999999994,200.0,-1720.000000000141,-1779.664000000141,take_profit_sma5,2,REAL_HISTORY
SC_IDX,30m,real,2025-02-19 22:00:00,2025-02-19 23:30:00,SHORT,1,568.4,569.68,28.42,28.484,200.0,-1279.9999999999727,-1336.9039999999727,take_profit_sma5,3,REAL_HISTORY
SC_IDX,30m,real,2025-02-26 00:30:00,2025-02-26 01:00:00,LONG,1,536.2,536.6,26.810000000000002,26.830000000000002,200.0,399.99999999997726,346.3599999999773,take_profit_sma5,1,REAL_HISTORY
