symbol,name,timeframe,track,bars,trade_count,win_count,loss_count,win_rate_pct,win_rate_ci95_low,win_rate_ci95_high,profit_factor,expectancy,gross_pnl,net_pnl,return_pct,max_drawdown_pct,sharpe,sortino,calmar,avg_holding_hours,fees,slippage,cost_to_gross_pct,ledger_reconciled,status,holdout_trades,holdout_net_pnl,parameter_profitable,parameter_total,stress_3x_net_pnl
SC_IDX,原油,30m,real,8008,127,87,40,68.50393700787401,59.982934680671505,75.93836252144159,1.7692281422635119,548.4639738469724,76410.71428570838,69654.92467856547,6.965492467856547,4.324556124892552,0.7941647103017171,0.12352186513495765,1.6106837942887402,0.47244094488188976,6755.789607142859,25400.0,20.0714467327956,True,INSUFFICIENT_REAL_SAMPLE,,,,,
SC_IDX,原油,30m,synthetic,160000,1104,911,193,82.51811594202898,80.16592590122266,84.64478349983249,5.364898433785645,1909.9747189764057,2178159.285714237,2108612.089749953,52.71530224374882,0.8647415633320176,3.443621059734885,0.724254977084424,60.960759236119635,0.2246376811594203,69547.19596428573,220800.0,11.202980553161522,True,INSUFFICIENT_REAL_SAMPLE,544.0,1014317.9767499766,16.0,16.0,1528117.6678214825
AL_IDX,沪铝,30m,real,8008,58,32,26,55.172413793103445,42.45185822161052,67.25034870705885,1.366399256992003,130.91061206896558,11227.142857142862,7592.815500000026,0.7592815500000026,1.222567808823499,0.4463652679218818,0.08689212780728843,0.6210547541986028,0.5172413793103449,3634.327357142857,17050.0,73.04920983865836,True,INSUFFICIENT_REAL_SAMPLE,,,,,
AL_IDX,沪铝,30m,synthetic,160000,1044,838,206,80.26819923371647,77.74497389618845,82.56948584658183,4.709487788080032,331.2869014008621,360251.60714285716,345863.52506250003,8.646588126562502,0.1750478609072521,3.2829311812088355,0.7079188114381254,49.39556577125976,0.2274904214559387,14388.082080357144,73900.0,20.106551455914452,True,INSUFFICIENT_REAL_SAMPLE,512.0,169263.4230624996,16.0,16.0,169337.35340178863
J_IDX,焦炭,30m,real,8008,90,58,32,64.44444444444444,54.149980634835,73.5562818329831,1.472541249327806,116.4731275793659,12401.071428571504,10482.581482143374,1.0482581482143374,0.7430438016866958,0.6699024772546761,0.12487169681192595,1.4107622536313613,0.4722222222222222,1918.4899464285716,10300.0,37.40430114284275,True,INSUFFICIENT_REAL_SAMPLE,,,,,
J_IDX,焦炭,30m,synthetic,160000,1013,824,189,81.34254689042449,78.8267115687321,83.62155962709625,3.502469199838494,721.1080774220842,757074.2857142857,730482.4824285733,18.262062060714335,0.5765532896736912,2.955922881611639,0.622868058020425,31.674543165038596,0.23395853899308983,26591.80328571429,112900.0,13.643735738098743,True,INSUFFICIENT_REAL_SAMPLE,524.0,360020.73594642757,16.0,16.0,452298.99585713935
TA_IDX,PTA,30m,real,8008,73,41,32,56.16438356164384,44.75757167181133,66.95483410839105,1.2717106812021317,89.74527739726018,9284.428571428567,6551.405250000651,0.6551405250000651,0.8872357286176842,0.32105975196056036,0.06937381506637423,0.7384063827330037,0.4315068493150685,2733.0233214285713,20480.0,75.70344368344209,True,INSUFFICIENT_REAL_SAMPLE,,,,,
TA_IDX,PTA,30m,synthetic,200000,1187,926,261,78.01179443976412,75.5673329625408,80.27552640683294,4.258153297292942,279.5524563756169,346989.2142857143,331828.7657178559,6.636575314357118,0.0900855775852008,3.774705858781705,0.9658439041957523,73.66967601534665,0.21861836562763268,15160.448567857144,121040.0,31.406151985778138,True,INSUFFICIENT_REAL_SAMPLE,464.0,121292.53431785852,16.0,16.0,59567.87758214283
LC_IDX,碳酸锂,30m,real,6000,82,52,30,63.41463414634146,52.60706597602314,73.0215336772918,1.7349219528533981,152.556906445993,13812.28571428571,12509.666328571504,1.2509666328571505,0.5324774153033747,1.0297199692457686,0.21221420640850938,2.3493327546003475,0.4024390243902439,1302.6193857142857,13600.0,50.46359216260822,True,REJECTED,,,,,
LC_IDX,碳酸锂,30m,synthetic,200000,1068,797,271,74.62546816479401,71.93055955451283,77.14385591881832,3.748990780392509,255.33077680243443,284862.5,272693.26962499984,5.4538653924999965,0.17931141944192217,3.2878858690875474,0.8800802706983406,30.415605483879787,0.22284644194756553,12169.230375000001,139200.0,40.70259461443128,True,REJECTED,414.0,105291.67100000067,16.0,16.0,-30099.872178569785
SI_IDX,工业硅,30m,real,7104,76,47,29,61.8421052631579,50.60154789314374,71.9430904908566,1.2147145351655453,61.39216447368412,6535.714285714275,4665.804499999969,0.4665804499999969,0.9050523031954244,0.3084714650099388,0.05109742344454279,0.5155287140341657,0.40789473684210525,1869.9097857142856,17250.0,72.4346753614232,True,REJECTED,,,,,
SI_IDX,工业硅,30m,synthetic,200000,1162,903,259,77.71084337349397,75.22874540947097,80.01031965734427,3.2201306871232473,225.09554968342758,275306.4285714285,261561.02873214392,5.231220574642879,0.2634296730277045,2.983546874643202,0.7029702988233937,19.85812955130806,0.23364888123924268,13745.399839285714,119350.0,35.08286486482982,True,REJECTED,492.0,96052.02150000096,16.0,16.0,-8000.712035715231
