symbol,timeframe,regime,trades,win_rate_pct,net_pnl
SC_IDX,30m,BULL_TREND,312,82.05128205128204,509066.92299998656
SC_IDX,30m,GRINDING_CHOP,161,82.6086956521739,69808.8379999923
SC_IDX,30m,PANIC_CRASH,329,83.89057750759878,705194.3589999862
SC_IDX,30m,WHIPSAW_RANGE,302,81.45695364238411,824541.9697499864
AL_IDX,30m,BULL_TREND,302,80.13245033112582,79410.73725
AL_IDX,30m,GRINDING_CHOP,133,74.43609022556392,26234.312250000003
AL_IDX,30m,PANIC_CRASH,313,83.70607028753993,113802.8125
AL_IDX,30m,WHIPSAW_RANGE,296,79.3918918918919,126415.66306249998
J_IDX,30m,BULL_TREND,272,83.08823529411765,131489.65235714283
J_IDX,30m,GRINDING_CHOP,126,73.80952380952381,28067.912499999995
J_IDX,30m,PANIC_CRASH,321,81.30841121495327,195629.7875714284
J_IDX,30m,WHIPSAW_RANGE,294,82.99319727891157,375295.1300000001
TA_IDX,30m,BULL_TREND,357,78.71148459383754,98320.55371785723
TA_IDX,30m,GRINDING_CHOP,108,67.5925925925926,16075.936200000015
TA_IDX,30m,PANIC_CRASH,398,78.64321608040201,120748.19109999991
TA_IDX,30m,WHIPSAW_RANGE,324,79.93827160493827,96684.08470000006
LC_IDX,30m,BULL_TREND,317,71.92429022082018,52187.873999999996
LC_IDX,30m,GRINDING_CHOP,64,65.625,6697.6105
LC_IDX,30m,PANIC_CRASH,372,70.43010752688173,67875.867125
LC_IDX,30m,WHIPSAW_RANGE,315,84.12698412698413,145931.918
SI_IDX,30m,BULL_TREND,290,76.20689655172413,58801.621499999994
SI_IDX,30m,GRINDING_CHOP,125,57.599999999999994,-6640.344500000021
SI_IDX,30m,PANIC_CRASH,399,79.19799498746866,98558.692125
SI_IDX,30m,WHIPSAW_RANGE,348,84.48275862068965,110841.05960714286
